Product	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL
DUVEL	111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84
LIEFMANS	87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34
CHIMAY	135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48
WEIHENSTEPHANER	69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64
FRUEH	67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33
ESTRELLA DAMM	56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1
BROOKLYN LAGER	72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8
BROOKLYN IPA	72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8
SAISON DUPONT	0	0	0	0	0	0	0	0
