Product	Month	Year	Location	TargetSales
LIEFMANS	June	2012	GOA	0
LIEFMANS	June	2012	CDG	0
LIEFMANS	June	2012	RAJ	0
LIEFMANS	June	2012	KOL	0
CHIMAY	June	2012	DEL	75
CHIMAY	June	2012	MUM	10
CHIMAY	June	2012	PUN	10
CHIMAY	June	2012	GGN	10
CHIMAY	June	2012	GOA	0
CHIMAY	June	2012	CDG	5
CHIMAY	June	2012	RAJ	0
CHIMAY	June	2012	KOL	0
WEIHENSTEPHANER	June	2012	DEL	75
WEIHENSTEPHANER	June	2012	MUM	25
WEIHENSTEPHANER	June	2012	PUN	15
WEIHENSTEPHANER	June	2012	GGN	10
WEIHENSTEPHANER	June	2012	GOA	0
WEIHENSTEPHANER	June	2012	CDG	0
WEIHENSTEPHANER	June	2012	RAJ	0
WEIHENSTEPHANER	June	2012	KOL	0
FRUEH	June	2012	DEL	75
FRUEH	June	2012	MUM	25
FRUEH	June	2012	PUN	15
FRUEH	June	2012	GGN	10
FRUEH	June	2012	GOA	0
FRUEH	June	2012	CDG	5
FRUEH	June	2012	RAJ	0
FRUEH	June	2012	KOL	0
ESTRELLA DAMM	June	2012	DEL	150
ESTRELLA DAMM	June	2012	MUM	75
ESTRELLA DAMM	June	2012	PUN	40
ESTRELLA DAMM	June	2012	GGN	50
ESTRELLA DAMM	June	2012	GOA	0
ESTRELLA DAMM	June	2012	CDG	10
ESTRELLA DAMM	June	2012	RAJ	0
ESTRELLA DAMM	June	2012	KOL	20
BROOKLYN LAGER	June	2012	DEL	75
BROOKLYN LAGER	June	2012	MUM	15
BROOKLYN LAGER	June	2012	PUN	15
BROOKLYN LAGER	June	2012	GGN	5
BROOKLYN LAGER	June	2012	GOA	0
BROOKLYN LAGER	June	2012	CDG	0
BROOKLYN LAGER	June	2012	RAJ	0
BROOKLYN LAGER	June	2012	KOL	0
BROOKLYN IPA	June	2012	DEL	50
BROOKLYN IPA	June	2012	MUM	15
BROOKLYN IPA	June	2012	PUN	5
BROOKLYN IPA	June	2012	GGN	0
BROOKLYN IPA	June	2012	GOA	0
BROOKLYN IPA	June	2012	CDG	0
BROOKLYN IPA	June	2012	RAJ	0
BROOKLYN IPA	June	2012	KOL	15
SAISON DUPONT	June	2012	DEL	0
SAISON DUPONT	June	2012	MUM	0
SAISON DUPONT	June	2012	PUN	0
SAISON DUPONT	June	2012	GGN	0
SAISON DUPONT	June	2012	GOA	0
SAISON DUPONT	June	2012	CDG	0
SAISON DUPONT	June	2012	RAJ	0
SAISON DUPONT	June	2012	KOL	0
DUVEL	July	2012	DEL	125
DUVEL	July	2012	MUM	15
DUVEL	July	2012	PUN	10
DUVEL	July	2012	GGN	10
DUVEL	July	2012	GOA	0
DUVEL	July	2012	CDG	10
DUVEL	July	2012	RAJ	0
DUVEL	July	2012	KOL	30
LIEFMANS	July	2012	DEL	100
LIEFMANS	July	2012	MUM	10
