RollNo	InstallmentNo	PayMode	ChequeNo	ChequeDate	DrawnOn	ReceiptNo	BankPunchNo	FinalAmt	AdvanceAmt	BalanceAmt	LateFee	CreatedBy	CreatedDate	LastUpdatedBy	LastUpdatedDate	SchoolCode	Reclot	sendtoac	receivedate	chkbounce	reason	ForSession	Narration	ChqBounceFee
S0802769	5	CHEQUE	244809	00:00.0	DENA BANK	1047	NULL	26800	0	0	0	lallan	54:40.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802836	5	CHEQUE	228774	00:00.0	ICICI BANK	1048	NULL	26800	0	0	0	lallan	55:50.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802633	5	CHEQUE	547482	00:00.0	HDFC BANK	1049	NULL	7500	0	0	0	sreeja	00:20.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0702242	5	CHEQUE	547483	00:00.0	HDFC BANK	1050	NULL	7500	0	0	0	sreeja	01:17.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701483	5	CHEQUE	284264	00:00.0	IDBI BANK LTD.	1051	NULL	28850	0	0	0	lallan	02:14.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701830	5	CHEQUE	948570	00:00.0	SYNDICATE BANK	1052	NULL	27200	0	0	0	sreeja	03:50.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903385	5	CHEQUE	545842	00:00.0	ICICI BANK	1053	NULL	11250	0	0	0	sreeja	05:40.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802487	5	CHEQUE	429259	00:00.0	HDFC BANK	1054	NULL	28450	0	0	0	lallan	09:14.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802597	5	CHEQUE	40091	00:00.0	STATE BANK OF INDIA	1055	NULL	28450	0	0	0	lallan	17:23.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0702109	5	CHEQUE	908520	00:00.0	STATE BANK OF INDIA	1056	NULL	28850	0	0	0	lallan	24:59.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0803110	5	CHEQUE	699525	00:00.0	ICICI BANK	1057	NULL	28450	0	0	0	lallan	26:24.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701900	5	CHEQUE	86717	00:00.0	HSBC BANK	1059	NULL	27200	0	0	0	admin	28:21.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600397	5	CHEQUE	147095	00:00.0	STANDARD CHARTERED	1060	NULL	29250	0	0	0	lallan	31:39.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600791	5	CHEQUE	494818	00:00.0	ICICI BANK	1061	NULL	27600	0	0	0	lallan	33:16.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0601021	5	CHEQUE	799552	00:00.0	ORIENTAL BANK OF COM	1062	NULL	29250	0	0	0	lallan	38:04.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701826	5	CHEQUE	622701	00:00.0	ICICI BANK	1063	NULL	27200	0	0	0	sreeja	43:52.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701964	5	CHEQUE	211962	00:00.0	HDFC BANK	1064	NULL	27200	0	0	0	sreeja	49:56.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802972	5	CHEQUE	211963	00:00.0	HDFC BANK	1065	NULL	26800	0	0	0	sreeja	50:53.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0701399	5	CHEQUE	714878	00:00.0	IDBI BANK LTD.	1066	NULL	27200	0	0	0	sreeja	54:31.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600815	5	CHEQUE	13983	00:00.0	AXIS	1067	NULL	29800	0	0	0	lallan	09:24.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0904060	5	CHEQUE	620324	00:00.0	HDFC BANK	1068		11250	0	0	0	sreeja	09:41.0	admin	28:44.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600754	5	CHEQUE	51647	00:00.0	HSBC BANK	1069	NULL	27600	0	0	0	lallan	13:26.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
