UserId	RecId	Item	ItemType	Variety	ForeQty	ForeMonth	QltyParam	UnderKPK	UOM	ForeYear
badri0970	392	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
kishan0970	9921	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
gcyadav0970	149	Seed	Groundnut	NULL	2	March	Rasdar	KPK0970	qntls	2012
mohanlal0970	9880	Fertilizer	DAP	IFFCO	3	May	IFFCO	KPK0970	bags	2012
kanaram0970	616	Fertilizer	DAP	IFFCO	4	May	IFFCO	KPK0970	bags	2012
klyadav0970	427	Fertilizer	DAP	IFFCO	4	May	IFFCO	KPK0970	bags	2012
kajod0970	9913	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
durgo0970	376	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
sitaram0970	595	Seed	Groundnut	NULL	4	May	Rasdar	KPK0970	qntls	2012
babu0970	230	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
kmal0970	410	Fertilizer	DAP	IFFCO	4	May	IFFCO	KPK0970	bags	2012
kana10970	15258	Fertilizer	DAP	IFFCO	5	May	IFFCO	kpk0970	bags	2012
lacha0970	491	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
kanaram0970	590	Fertilizer	Urea	NULL	5	May	Shri Ram	KPK0970	bags	2012
shyam0970	358	Fertilizer	Urea	NULL	10	May	Shri Ram	KPK0970	bags	2012
jagmal0970	326	Fertilizer	DAP	IFFCO	10	May	IFFCO	KPK0970	bags	2012
mana0970	12	Seed	Pearl Millet	Shri Ram	0.04	May	Shri Ram	KPK0970	qntls	2012
bryadav	158	Fertilizer	Urea	Shri Ram	3	May	Shri Ram	KPK0970	bags	2012
girdhari0970	534	Seed	Groundnut	NULL	3	May	Rasdar	KPK0970	qntls	2012
kcyadav0970	435	Seed	Groundnut	NULL	4	May	Rasdar	KPK0970	qntls	2012
chhigan0970	136	Fertilizer	Urea	Shri Ram	2	May	Shri Ram	KPK0970	bags	2012
blsaini	9	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
blsaini	260	Seed	Groundnut	NULL	8	May	Rasdar	KPK0970	qntls	2012
rudaram0970	15	Fertilizer	Urea	Shri Ram	10	May	Shri Ram	KPK0970	bags	2012
rpyadav0970	452	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
narayanji0970	9911	Fertilizer	DAP	IFFCO	5	May	IFFCO	KPK0970	bags	2012
madanlal0970	139	Seed	Pearl Millet	NULL	0.05	May	Maico 2210	KPK0970	qntls	2012
narayanji0970	9910	Fertilizer	Urea	Shri Ram	5	May	Shri Ram	KPK0970	bags	2012
mlyadav	28	Seed	Pearl Millet	NULL	25	May	Pioneer	KPK0970	qntls	2012
Choturam0970	369	Fertilizer	DAP	IFFCO	2	May	IFFCO	KPK0970	bags	2012
hanuman0970	415	Fertilizer	Urea	NULL	10	May	Sriam	KPK0970	bags	2012
