Product	Duration	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL
LIEFMANS	1/1/13 12:00 AM	50	5	5	2	0	0	0	0
CHIMAY	1/1/13 12:00 AM	40	10	10	2	0	0	0	0
WEIHENSTEPHANER	1/1/13 12:00 AM	50	10	10	3	0	0	0	0
FRUEH	1/1/13 12:00 AM	50	10	10	2	0	0	0	0
ESTRELLA DAMM	1/1/13 12:00 AM	75	30	25	10	0	0	0	20
BROOKLYN LAGER	1/1/13 12:00 AM	50	10	5	2	0	0	0	0
BROOKLYN IPA	1/1/13 12:00 AM	35	10	5	2	0	0	0	15
SAISON DUPONT	1/1/13 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	2/1/13 12:00 AM	50	15	10	2	10	0	3	15
LIEFMANS	2/1/13 12:00 AM	75	5	5	2	0	0	3	0
CHIMAY	2/1/13 12:00 AM	40	10	10	2	10	0	3	0
WEIHENSTEPHANER	2/1/13 12:00 AM	50	10	10	3	0	0	3	0
FRUEH	2/1/13 12:00 AM	50	10	10	2	10	0	3	0
ESTRELLA DAMM	2/1/13 12:00 AM	75	30	25	10	20	0	10	20
BROOKLYN LAGER	2/1/13 12:00 AM	50	10	5	2	0	0	2	0
BROOKLYN IPA	2/1/13 12:00 AM	35	10	5	2	0	0	3	15
SAISON DUPONT	2/1/13 12:00 AM	0	0	0	0	0	0	0	0
DUVEL	3/1/13 12:00 AM	150	40	20	5	50	0	0	15
LIEFMANS	3/1/13 12:00 AM	100	20	15	5	0	0	0	0
CHIMAY	3/1/13 12:00 AM	75	25	20	5	0	0	0	0
WEIHENSTEPHANER	3/1/13 12:00 AM	100	30	15	5	50	0	0	0
FRUEH	3/1/13 12:00 AM	100	30	15	5	0	0	0	0
ESTRELLA DAMM	3/1/13 12:00 AM	150	75	45	15	50	0	0	20
BROOKLYN LAGER	3/1/13 12:00 AM	100	15	15	5	0	0	0	0
BROOKLYN IPA	3/1/13 12:00 AM	75	15	5	5	0	0	0	15
SAISON DUPONT	3/1/13 12:00 AM	0	0	0	0	0	0	0	0

