																																																																																																																									
			APRIL									MAY									JUNE									JULY									AUGUST									SEPTEMBER									OCTOBER									NOVEMBER									DECEMBER									JANUARY									FEBRUARY									MARCH									GTOTAL										
			DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	GTOT		HL
VOLUME	DUVEL										0	150	35	20	15	20	10		30	280	125	25	15	10		5		15	195	125	15	10	10		10		30	200	125	15	10	10		5	5	15	185	125	20	20	10	50	10	3	30	268	50	20	20	10	10	5	5	15	135	100	40	20	5	10		3	30	208	100	40	20	5	10		5	15	195	50	15	10	2				15	92	50	15	10	2	10		3	15	105	150	40	20	5	50			15	280	1150	280	175	84	160	45	24	225	2143		169.7256
	Logistics					460000	230000	230000	350000	230000	230000	230000	460000	230000	230000	0				2880000																																																																																																					
	Operating Costs		350000	400000	485000	485000	485000	485000	485000	485000	485000	485000	485000	485000	485000	485000				6570000																																																																																																					
	Label Registration			200000	200000											200000				600000																																																																																																					
	Interest 		85000	85000	85000	85000	85000	85000	85000	85000	85000	85000	85000	85000	85000	85000				1190000																																																																																																					
	Past Liabilities																																																																																																																								
	Total		435000	974800	971250	1223200	2372179	1940650	1792641	2428725	1980585	1551450	1679600	2055450	1474765	1737750				22618045																																																																																																					
																																																																																																																									
	Inflow																																																																																																																								
	Collections Due			1410884.16	1028442.00	0.00	2986210.51	2332108.788	2520721.968	2390281.68	3220247.227	2370224.028	2178074.707	2125449.984	1225611.768	1447719.223				25235976.05																																																																																																					
	Discount and Promos			300000	200000	0.00	320708.25	262003.00	291560.50	267921.70	370087.69	263451.75	224925.59	216680.70	135940.71	163693.25				3016973.14																																																																																																					
	Net Collections		500000	1110884.16	828442.00	0.00	2665502.26	2070105.79	2229161.47	2122359.98	2850159.54	2106772.28	1953149.12	1908769.28	1089671.06	1284025.97				22719002.91																																																																																																					
																																																																																																																									
	Net Cashflow		65000	136084	-142808	-1223200	293323	129456	436520	-306365	869575	555322	273549	-146681	-385094	-453724				100957.9056																																																																																																					
																																																																																																																									
	Cumulative cashflow		65000	201084	58276	-1164924	-871601	-742145	-305624	-611989	257585	812907	1086457	939776	554682	100958																																																																																																									
																																																																																																																									
			1	2	1	-12	-9	-7	-3	-6	3	8	11	9	6	1																																																																																																									
