																																																																																																																									
			APRIL									MAY									JUNE									JULY									AUGUST									SEPTEMBER									OCTOBER									NOVEMBER									DECEMBER									JANUARY									FEBRUARY									MARCH									GTOTAL										
			DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	TOT	DEL	MUM	PUN	GGN	GOA	CDG	RAJ	KOL	GTOT		HL
VOLUME	DUVEL										0	150	35	20	15	20	10		30	280	125	25	15	10		5		15	195	125	15	10	10		10		30	200	125	15	10	10		5	5	15	185	125	20	20	10	50	10	3	30	268	50	20	20	10	10	5	5	15	135	100	40	20	5	10		3	30	208	100	40	20	5	10		5	15	195	50	15	10	2				15	92	50	15	10	2	10		3	15	105	150	40	20	5	50			15	280	1150	280	175	84	160	45	24	225	2143		169.7256
	SAISON DUPONT		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
	TOTALS		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	14.56	4.52	3.09	2.85	1.88	1.10	0.00	1.87	29.86	14.56	3.29	2.08	1.91	0.00	0.55	0.00	0.93	23.32	15.63	2.20	1.71	1.98	0.72	1.10	0.00	1.87	25.21	15.63	2.09	1.71	1.98	0.00	0.55	1.01	0.93	23.90	16.35	3.98	3.01	2.25	3.05	1.10	0.60	1.87	32.20	11.12	3.98	3.01	2.01	1.10	0.55	1.01	0.93	23.70	10.36	4.18	2.66	1.01	1.10	0.00	0.60	1.87	21.78	10.36	4.18	2.66	1.01	1.10	0.00	1.01	0.93	21.25	7.83	1.63	1.39	0.48	0.00	0.00	0.00	0.93	12.26	8.35	1.63	1.39	0.48	1.10	0.00	0.60	0.93	14.48	16.93	4.18	2.66	1.01	3.05	0.00	0.00	0.93	28.77	141.67	35.86	25.39	16.95	13.09	4.93	4.83	14.01	256.74		
																																																																																																																									
REALISATION PER CAS	DUVEL		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268		0.0268	0.0250	0.0250	0.0287	0.0287	0.0287	0.0287	0.0268												
	LIEFMANS		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210		0.0210	0.0307	0.0192	0.0224	0.0224	0.0224	0.0224	0.0210												
	CHIMAY		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325		0.0325	0.0149	0.0307	0.0348	0.0348	0.0348	0.0348	0.0325												
	WEIHENSTEPHANER		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167		0.0167	0.0149	0.0149	0.0179	0.0179	0.0179	0.0179	0.0167												
	FRUEH		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162		0.0162	0.0144	0.0144	0.0173	0.0173	0.0173	0.0173	0.0162												
	ESTRELLA DAMM		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135		0.0135	0.0111	0.0111	0.0144	0.0144	0.0144	0.0144	0.0135												
	BROOKLYN LAGER		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175												
	BROOKLYN IPA		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175		0.0175	0.0163	0.0163	0.0187	0.0187	0.0187	0.0187	0.0175												
	SAISON DUPONT		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000		0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000												
																																																																																																																									
REALISATION PER BTL	DUVEL		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84		111.84	104.34	104.34	119.6688	119.6688	119.6688	119.6688	111.84												
	LIEFMANS		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34		87.34	79.84	79.84	93.4538	93.4538	93.4538	93.4538	87.34												
	CHIMAY		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48		135.48	127.98	127.98	144.9636	144.9636	144.9636	144.9636	135.48												
	WEIHENSTEPHANER		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64		69.64	62.14	62.14	74.5148	74.5148	74.5148	74.5148	69.64												
	FRUEH		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33		67.33	59.83	59.83	72.0431	72.0431	72.0431	72.0431	67.33												
	ESTRELLA DAMM		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1		56.1	46.1	46.1	60.027	60.027	60.027	60.027	56.1												
	BROOKLYN LAGER		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8												
	BROOKLYN IPA		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8		72.8	67.8	67.8	77.896	77.896	77.896	77.896	72.8												
	SAISON DUPONT																																																																																																																								
																																																																																																																									
PROMOTIONS PER CASE	DUVEL		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58		287.58	107.58	107.58	287.58	287.58	287.58	287.58	287.58												
	LIEFMANS		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58		224.58	44.58	44.58	224.58	224.58	224.58	224.58	224.58												
	CHIMAY		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86		240.86	60.86	60.86	240.86	240.86	240.86	240.86	240.86												
	WEIHENSTEPHANER		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55		278.55	98.55	98.55	278.55	278.55	278.55	278.55	278.55												
	FRUEH		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31		269.31	89.31	89.31	269.31	269.31	269.31	269.31	269.31												
	ESTRELLA DAMM		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73		310.73	70.73	70.73	310.73	310.73	310.73	310.73	310.73												
	BROOKLYN LAGER		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2												
	BROOKLYN IPA		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2		187.2	67.2	67.2	187.2	187.2	187.2	187.2	187.2												
	SAISON DUPONT																																																																																																																								
																																																																																																																									
GROSS PROFIT PER CASE	DUVEL		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5		915.5	915.5	915.5	1103.3912	1103.3912	1103.3912	1103.3912	915.5												
	LIEFMANS		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5		740.5	740.5	740.5	887.2312	887.2312	887.2312	887.2312	740.5												
